time,area_h1,area_h2,area_h3,area_h4,area_h5,area_h6,area_h7
718750,105763.59702976,71207.064999864,50294.668139919,50822.194223457,42876.931702813,45422.962020346,283612.58188383
725000,105494.76602255,71395.911255226,50440.106698859,50942.215930634,42915.521888674,44979.713084298,283831.76511975
737500,104952.39496625,71763.745302252,50725.928058905,51187.367099851,42995.001130873,43970.639379544,284404.92406231
743750,104678.43798287,71944.101867599,50870.095718094,51311.781297852,43035.343835116,43482.746259937,284677.49303852
750000,104403.80562827,72124.300617667,51014.777246943,51437.334106346,43075.928493249,43039.383715069,284904.47019244
762500,103857.71872807,72474.791429981,51302.941941826,51691.546007541,43156.964807781,42136.896012719,285379.14107207
768750,103584.74509855,72648.306789639,51447.992398086,51820.114679907,43197.481920671,41667.061432853,285634.29768029
775000,103313.60782366,72815.940633652,51592.286056007,51949.612761148,43237.782563156,41233.608750998,285857.16141136
781250,103044.79385906,72981.23458699,51735.211746858,52080.127906255,43277.83748964,40781.395863447,286099.39854774
787500,102778.66812834,73146.765477963,51875.234876384,52211.800547292,43317.656288447,40319.133523855,286350.74115771
793750,102515.44898695,73308.730714069,52011.935635281,52344.811311879,43357.286621972,39865.032260978,286596.75446886
800000,102255.19442266,73467.42915297,52147.070718199,52479.354817639,43396.811294848,39398.0879429,286856.05165077
806250,101997.80002937,73625.205565657,52281.420918619,52615.60235541,43436.342970233,38900.231836524,287143.39632417
812500,101743.00821004,73778.958544724,52414.200807411,52753.666000722,43476.018212062,38405.185560051,287428.96266498
818750,101490.42685189,73927.803776045,52544.089503433,52893.577442599,43515.990550494,37895.665646487,287732.44622904
825000,101239.55485843,74076.277962152,52671.361681137,53035.292199506,43556.42298549,37361.970634571,288059.1196787
831250,100989.81211832,74224.335306205,52796.938642626,53178.717877128,43597.481040603,36811.880855578,288400.83415953
837500,100740.57211582,74371.448434,52920.443486247,53323.752173151,43639.325392222,36257.445552341,288747.0128462
843750,100491.19633498,74523.766061255,53041.682507938,53470.317033782,43682.104231632,35677.753477446,289113.18035296
850000,100241.06979381,74680.583379458,53161.257279057,53618.382325084,43725.946271901,35058.735095831,289514.02585484
856250,99989.636819689,74833.171191127,53279.467983264,53767.974574781,43770.953446057,34442.261557041,289916.53442803
862500,99736.434928474,74984.341586076,53396.638728552,53919.171422003,43817.194222345,33827.076960808,290319.14215173
868750,99481.124298632,75143.234624003,53512.758838358,54072.086201728,43864.698853052,33150.905711259,290775.19147296
875000,99223.509718796,75304.338905092,53627.476267263,54226.847681064,43913.456293355,32466.896797262,291237.47433716
881250,98963.552967966,75463.818509119,53740.49472331,54383.577055768,43963.414117876,31805.222061567,291679.92056438
887500,98701.374432821,75627.023266215,53851.767383155,54542.357427482,44014.48201913,31093.42991028,292169.56556091
893750,98437.244188017,75792.364422839,53961.828248538,54703.1895167,44066.537600536,30357.54438518,292681.29163818
900000,98171.56388482,75954.231660527,54071.656270198,54865.939840674,44119.434964433,29645.667121379,293171.50625796
906250,97904.840839997,76116.735327424,54181.116241744,55030.305856714,44173.014763166,28919.182060027,293674.80491092
912500,97637.656052417,76279.313585982,54288.656759804,55195.828168157,44227.113707829,28081.850224482,294289.58150132
918750,97370.627870089,76439.230898596,54393.119771893,55361.959886671,44281.575413862,27234.192702566,294919.29345631
925000,97104.373098327,76605.415286245,54494.828658456,55528.165137118,44336.259698304,26465.310498326,295465.64762321
931250,96839.467980534,76763.69171481,54594.5703602,55694.012186806,44391.050457662,25795.017992368,295922.18930761
937500,96576.411884479,76911.148092676,54692.842207284,55859.243592717,44445.86284539,25188.92410451,296325.56727293
943750,96315.596610254,77052.041937136,54790.036879945,56023.813062226,44500.648271226,24613.282982983,296704.58025622
950000,96057.28394619,77188.900200814,54885.3682867,56187.883560101,44555.397250717,24055.321687389,297069.84506808
956250,95801.593157635,77323.8349588,54977.029383155,56351.788571814,44610.140014032,23506.434011195,297429.17990336
962500,95548.498685392,77458.107297071,55064.367215282,56515.968081553,44664.944052184,22979.30982047,297768.80484804
968750,95297.837357787,77591.649177874,55148.366143286,56680.891330101,44719.909853956,22446.688262243,298114.65787474
975000,95049.322952456,77723.960483177,55229.995339035,56846.96942916,44775.164743429,21921.889487925,298452.69756481
981250,94802.566297911,77854.856009656,55310.06416511,57014.464852372,44830.855331836,21416.498091757,298770.69525135
987500,94557.099096352,77984.483743054,55388.770110822,57183.430743612,44887.14019015,20897.450736905,299101.62537909
993750,94312.40048325,78113.417221342,55464.605521308,57353.71806342,44944.181765264,20342.972806339,299468.70413907
1000000,94067.925716378,78242.202616068,55536.535293832,57525.052412703,45002.138890978,19811.838283021,299814.30678701
1006250,93823.136224146,78370.699918913,55605.625593851,57697.136675929,45061.159058668,19340.532222776,300101.71030571
1012500,93577.529626584,78498.52833746,55673.151087835,57869.739112328,45121.370247005,18931.800205209,300327.88138357
1018750,93330.667638598,78625.51357622,55739.714179307,58042.754018617,45182.873406261,18566.079876844,300512.39730414
1025000,93082.199380993,78751.455496183,55805.676708482,58216.230773348,45245.735614624,18235.414878237,300663.28714812
1031250,92831.877931824,78876.407330607,55870.337366568,58390.360792626,45309.98471509,17945.169088116,300775.86277516
1037500,92579.568802071,79000.950953521,55932.923325466,58565.421805067,45375.606962752,17672.444665292,300873.08348582
1043750,92325.250408121,79125.399030197,55994.388491661,58741.69846303,45442.547545491,17463.960971491,300906.75509
1050000,92069.007644968,79249.501898379,56055.974536434,58919.398990657,45510.714840312,17289.54108095,300905.86100829
1056250,91811.0208035,79372.98826479,56117.875286066,59098.581131774,45579.98779126,17118.939706778,300900.60701582
1062500,91551.551474926,79495.597427547,56180.054199002,59279.105363546,45650.224987465,16966.935871889,300876.53067561
1068750,91290.926976629,79616.890335608,56242.399236262,59460.639059432,45721.275565511,16814.067330502,300853.80149604
1075000,91029.523527276,79736.76112519,56304.009747672,59642.720408004,45792.98967081,16664.371188486,300829.62433255
